year,avg_temp,5 years MA,
1861,7.85,,
1862,7.56,,
1863,8.11,,
1864,7.98,,
1865,8.18,7.936,
1866,8.29,8.024,
1867,8.44,8.2,
1868,8.25,8.228,
1869,8.43,8.318,
1870,8.2,8.322,8.121111111
1871,8.12,8.288,8.16
1872,8.19,8.238,8.222222222
1873,8.35,8.258,8.231111111
1874,8.43,8.258,8.272222222
1875,7.86,8.19,8.3
1876,8.08,8.182,8.252222222
1877,8.54,8.252,8.212222222
1878,8.83,8.348,8.244444444
1879,8.17,8.296,8.288888889
1880,8.12,8.348,8.285555556
1881,8.27,8.386,8.285555556
1882,8.13,8.304,8.294444444
1883,7.98,8.134,8.27
1884,7.77,8.054,8.22
1885,7.92,8.014,8.21
1886,7.95,7.95,8.192222222
1887,7.91,7.906,8.126666667
1888,8.09,7.928,8.024444444
1889,8.32,8.038,8.015555556
1890,7.97,8.048,8.037777778
1891,8.02,8.062,8.004444444
1892,8.07,8.094,7.992222222
1893,8.06,8.088,8.002222222
1894,8.16,8.056,8.034444444
1895,8.15,8.092,8.061111111
1896,8.21,8.13,8.083333333
1897,8.29,8.174,8.116666667
1898,8.18,8.198,8.138888889
1899,8.4,8.246,8.123333333
1900,8.5,8.316,8.171111111
1901,8.54,8.382,8.224444444
1902,8.3,8.384,8.276666667
1903,8.22,8.392,8.303333333
1904,8.09,8.33,8.31
1905,8.23,8.276,8.303333333
1906,8.38,8.244,8.305555556
1907,7.95,8.174,8.315555556
1908,8.19,8.168,8.29
1909,8.18,8.186,8.266666667
1910,8.22,8.184,8.231111111
1911,8.18,8.144,8.195555556
1912,8.17,8.188,8.182222222
1913,8.3,8.21,8.176666667
1914,8.59,8.292,8.2
1915,8.59,8.366,8.24
1916,8.23,8.376,8.263333333
1917,8.02,8.346,8.294444444
1918,8.13,8.312,8.275555556
1919,8.38,8.27,8.27
1920,8.36,8.224,8.287777778
1921,8.57,8.292,8.307777778
1922,8.41,8.37,8.352222222
1923,8.42,8.428,8.364444444
1924,8.51,8.454,8.345555556
1925,8.53,8.488,8.336666667
1926,8.73,8.52,8.37
1927,8.52,8.542,8.448888889
1928,8.63,8.584,8.492222222
1929,8.24,8.53,8.52
1930,8.63,8.55,8.506666667
1931,8.72,8.548,8.513333333
1932,8.71,8.586,8.547777778
1933,8.34,8.528,8.58
1934,8.63,8.606,8.561111111
1935,8.52,8.584,8.572222222
1936,8.55,8.55,8.548888889
1937,8.7,8.548,8.552222222
1938,8.86,8.652,8.56
1939,8.76,8.678,8.628888889
1940,8.76,8.726,8.643333333
1941,8.77,8.77,8.647777778
1942,8.73,8.776,8.654444444
1943,8.76,8.756,8.697777778
1944,8.85,8.774,8.712222222
1945,8.58,8.738,8.748888889
1946,8.68,8.72,8.752222222
1947,8.8,8.734,8.75
1948,8.75,8.732,8.743333333
1949,8.59,8.68,8.742222222
1950,8.37,8.638,8.723333333
1951,8.63,8.628,8.678888889
1952,8.64,8.596,8.667777778
1953,8.87,8.62,8.654444444
1954,8.56,8.614,8.656666667
1955,8.63,8.666,8.654444444
1956,8.28,8.596,8.648888889
1957,8.73,8.614,8.591111111
1958,8.77,8.594,8.588888889
1959,8.73,8.628,8.608888889
1960,8.58,8.618,8.648888889
1961,8.8,8.722,8.643333333
1962,8.75,8.726,8.661111111
1963,8.86,8.744,8.647777778
1964,8.41,8.68,8.681111111
1965,8.53,8.67,8.656666667
1966,8.6,8.63,8.684444444
1967,8.7,8.62,8.67
1968,8.52,8.552,8.662222222
1969,8.6,8.59,8.638888889
1970,8.7,8.624,8.641111111
1971,8.6,8.624,8.63
1972,8.5,8.584,8.613333333
1973,8.95,8.67,8.573333333
1974,8.47,8.644,8.633333333
1975,8.74,8.652,8.626666667
1976,8.35,8.602,8.642222222
1977,8.85,8.672,8.603333333
1978,8.69,8.62,8.64
1979,8.73,8.672,8.65
1980,8.98,8.72,8.653333333
1981,9.17,8.884,8.695555556
1982,8.64,8.842,8.77
1983,9.03,8.91,8.735555556
1984,8.69,8.902,8.797777778
1985,8.66,8.838,8.792222222
1986,8.83,8.77,8.826666667
1987,8.99,8.84,8.824444444
1988,9.2,8.874,8.857777778
1989,8.92,8.92,8.91
1990,9.23,9.034,8.903333333
1991,9.18,9.104,8.91
1992,8.84,9.074,8.97
1993,8.87,9.008,8.948888889
1994,9.04,9.032,8.968888889
1995,9.35,9.056,9.011111111
1996,9.04,9.028,9.068888889
1997,9.2,9.1,9.074444444
1998,9.52,9.23,9.074444444
1999,9.29,9.28,9.141111111
2000,9.2,9.25,9.147777778
2001,9.41,9.324,9.15
2002,9.57,9.398,9.213333333
2003,9.53,9.4,9.291111111
2004,9.32,9.406,9.345555556
2005,9.7,9.506,9.342222222
2006,9.53,9.53,9.415555556
2007,9.73,9.562,9.452222222
2008,9.43,9.542,9.475555556
2009,9.51,9.58,9.491111111
2010,9.7,9.58,9.525555556
2011,9.52,9.578,9.557777778
2012,9.51,9.534,9.552222222
2013,9.61,9.57,9.55
